priority,category,asset_id,incoming_path,expected_size,transparent,prompt,negative_prompt
batch_a_style_lock,support,greenfield_p0_style_mother,01_mother_images/style/greenfield_p0_style_mother.png,1200x760,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Create greenfield_p0_style_mother; exact canvas 1200x760 px; fully opaque complete review image.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_a_style_lock,ui_screen,ui_screen_hud,01_mother_images/ui/screens/greenfield_p0_ui_screen_hud.png,1280x720,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Create a UI screen mother layout for ui_screen_hud; exact canvas 1280x720 px; fully opaque complete review image; paper/wood diary style, dense but readable game interface, no real text labels required.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_a_style_lock,ui_screen,ui_screen_inventory,01_mother_images/ui/screens/greenfield_p0_ui_screen_inventory.png,1280x720,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Create a UI screen mother layout for ui_screen_inventory; exact canvas 1280x720 px; fully opaque complete review image; paper/wood diary style, dense but readable game interface, no real text labels required.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_a_style_lock,ui_screen,ui_screen_journal_map,01_mother_images/ui/screens/greenfield_p0_ui_screen_journal_map.png,1280x720,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Create a UI screen mother layout for ui_screen_journal_map; exact canvas 1280x720 px; fully opaque complete review image; paper/wood diary style, dense but readable game interface, no real text labels required.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_a_style_lock,ui_screen,ui_screen_dialogue_gift,01_mother_images/ui/screens/greenfield_p0_ui_screen_dialogue_gift.png,1280x720,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Create a UI screen mother layout for ui_screen_dialogue_gift; exact canvas 1280x720 px; fully opaque complete review image; paper/wood diary style, dense but readable game interface, no real text labels required.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_a_style_lock,ui_screen,ui_screen_pause_settings,01_mother_images/ui/screens/greenfield_p0_ui_screen_pause_settings.png,1280x720,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Create a UI screen mother layout for ui_screen_pause_settings; exact canvas 1280x720 px; fully opaque complete review image; paper/wood diary style, dense but readable game interface, no real text labels required.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_mother,home_area_painted_source,01_mother_images/regions/home_area/home_area_painted_source.png,1470x1070,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint a complete region source/review mother for home_area_painted_source; exact canvas 1470x1070 px; fully opaque complete review image; believable village-space layout, readable roads, props beside paths, no impossible overlaps.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_base_ground,02_runtime_exports/regions/home_area/layers/home_area_base_ground.png,1470x1070,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_base_ground; exact canvas 1470x1070 px; fully opaque complete review image; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_terrain_details,02_runtime_exports/regions/home_area/layers/home_area_terrain_details.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_terrain_details; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_behind_player_structures,02_runtime_exports/regions/home_area/layers/home_area_behind_player_structures.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_behind_player_structures; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_ysort_props_structures,02_runtime_exports/regions/home_area/layers/home_area_ysort_props_structures.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_ysort_props_structures; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
